repetition	sampled_tips	observed_trees	hidden_trees	p	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max	R0	R0_min	R0_max	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max
2	854	145	fixed	0.054	0.04	0.04	0.04	11.8	10.9	12.8	0.96	0.93	1.00	0.08	0.08	0.09	22.33	21.62	23.09	23.15	22.42	23.94
2	854	145	fixed	0.065	0.04	0.04	0.04	12.7	11.7	13.8	0.96	0.92	0.99	0.08	0.07	0.09	22.19	21.40	23.00	23.15	22.34	24.00
2	854	145	fixed	0.081	0.04	0.04	0.05	13.8	12.8	15.1	0.95	0.91	0.99	0.07	0.07	0.08	21.48	20.65	22.50	22.63	21.76	23.54
3	854	169	0	0.054	0.04	0.04	0.05	12.0	11.0	13.0	0.99	0.96	1.04	0.08	0.08	0.09	22.67	21.91	23.81	22.92	22.15	23.71
3	854	169	0	0.065	0.04	0.04	0.05	12.9	11.9	14.0	0.99	0.95	1.02	0.08	0.07	0.08	22.04	21.24	22.87	22.33	21.53	23.17
3	854	169	0	0.081	0.05	0.04	0.05	14.1	13.0	15.3	0.98	0.94	1.02	0.07	0.07	0.08	21.49	20.64	22.39	21.85	20.98	22.76
3	854	169	estimated	0.054	0.04	0.04	0.05	12.0	11.0	13.0	0.99	0.95	1.03	0.08	0.08	0.09	22.74	21.70	23.53	22.85	22.08	23.64
3	854	169	estimated	0.065	0.04	0.04	0.05	12.9	11.9	14.0	0.99	0.96	1.03	0.08	0.07	0.08	22.18	21.37	23.01	22.32	21.51	23.16
3	854	169	estimated	0.081	0.05	0.04	0.05	14.1	13.0	15.3	0.99	0.95	1.03	0.07	0.07	0.08	21.58	20.72	22.49	21.76	20.89	22.67
3	854	169	fixed	0.054	0.04	0.04	0.04	12.0	11.0	13.0	0.96	0.93	1.00	0.08	0.08	0.09	22.37	21.63	23.12	23.19	22.44	23.98
3	854	169	fixed	0.065	0.04	0.04	0.05	12.9	11.9	14.0	0.96	0.92	0.99	0.08	0.07	0.08	21.73	20.89	22.53	22.68	21.88	23.52
3	854	169	fixed	0.081	0.04	0.04	0.05	14.1	13.0	15.3	0.95	0.91	0.99	0.07	0.07	0.08	21.09	20.27	21.94	22.23	21.37	23.14
4	854	155	0	0.054	0.04	0.04	0.05	11.9	11.0	13.0	0.99	0.96	1.02	0.08	0.08	0.09	22.04	21.30	22.80	22.26	21.28	23.03
4	854	155	0	0.065	0.05	0.04	0.05	12.8	11.8	14.0	0.99	0.95	1.03	0.08	0.07	0.08	21.50	20.72	22.31	21.75	20.96	22.56
4	854	155	0	0.081	0.05	0.05	0.05	14.0	12.9	15.3	0.99	0.92	1.03	0.07	0.07	0.08	20.92	19.51	21.79	21.23	19.40	22.12
4	854	155	estimated	0.054	0.05	0.04	0.05	11.9	11.0	13.0	1.00	0.96	1.03	0.08	0.08	0.09	22.12	21.38	22.93	22.22	21.47	23.46
4	854	155	estimated	0.065	0.05	0.04	0.05	12.8	11.8	14.0	0.99	0.96	1.03	0.08	0.07	0.08	21.69	20.89	22.50	21.81	21.01	22.62
4	854	155	estimated	0.081	0.05	0.05	0.05	14.0	12.9	15.3	0.99	0.95	1.03	0.07	0.07	0.08	21.00	20.16	21.88	21.15	20.30	22.04
4	854	155	fixed	0.054	0.04	0.04	0.07	11.9	3.2	164.2	0.96	0.78	1.37	0.08	0.01	0.31	21.70	17.62	30.89	22.50	15.14	27.80
4	854	155	fixed	0.065	0.05	0.04	0.05	12.9	11.9	14.0	0.96	0.92	0.99	0.08	0.07	0.08	21.18	20.42	21.95	22.11	21.33	22.92
4	854	155	fixed	0.081	0.05	0.04	0.05	14.1	13.0	15.3	0.95	0.91	0.99	0.07	0.07	0.08	20.59	19.78	21.42	21.70	20.86	22.58
5	854	174	0	0.054	0.04	0.04	0.05	11.9	11.0	12.9	0.99	0.96	1.02	0.08	0.08	0.09	22.67	21.91	23.45	22.92	22.16	23.72
5	854	174	0	0.065	0.04	0.04	0.05	12.8	11.8	13.9	0.99	0.95	1.02	0.08	0.07	0.08	22.24	21.43	23.07	22.54	21.73	23.39
5	854	174	0	0.081	0.05	0.04	0.05	14.0	12.9	15.2	0.98	0.94	1.02	0.07	0.07	0.08	21.65	20.79	22.55	22.02	21.14	22.93
5	854	174	estimated	0.054	0.04	0.04	0.05	11.9	11.0	12.9	0.99	0.96	1.03	0.08	0.08	0.09	22.78	22.01	23.57	22.90	22.13	23.70
5	854	174	estimated	0.065	0.04	0.04	0.05	12.8	11.8	13.9	0.99	0.96	1.03	0.08	0.07	0.08	22.13	21.33	22.97	22.28	21.47	23.12
5	854	174	estimated	0.081	0.05	0.04	0.05	14.0	12.9	15.2	0.99	0.95	1.03	0.07	0.07	0.08	21.71	20.83	22.61	21.89	21.02	22.80
5	854	174	fixed	0.054	0.04	0.04	0.04	11.9	11.0	12.9	0.96	0.93	1.00	0.08	0.08	0.09	22.42	21.68	23.17	23.24	22.49	24.03
5	854	174	fixed	0.065	0.04	0.04	0.05	12.8	11.8	13.9	0.96	0.92	0.99	0.08	0.07	0.08	21.80	21.03	22.60	22.76	21.95	23.59
5	854	174	fixed	0.081	0.04	0.04	0.05	14.0	12.9	15.2	0.95	0.91	0.99	0.07	0.07	0.08	21.30	20.46	22.15	22.45	21.58	23.36
6	853	159	0	0.054	0.04	0.04	0.04	11.8	10.9	12.8	0.99	0.96	1.02	0.08	0.08	0.09	23.00	22.23	23.80	23.24	22.46	24.04
6	853	159	0	0.065	0.04	0.04	0.05	12.7	11.7	13.8	0.99	0.95	1.03	0.08	0.07	0.09	22.46	21.64	23.32	22.74	21.92	23.61
6	853	159	0	0.081	0.05	0.04	0.05	13.9	12.8	15.1	0.98	0.95	1.03	0.07	0.07	0.08	21.80	20.94	22.71	22.14	21.27	23.05
6	853	159	estimated	0.054	0.04	0.04	0.04	11.8	10.9	12.8	1.00	0.96	1.03	0.08	0.08	0.09	23.00	22.23	23.80	23.12	22.34	23.92
6	853	159	estimated	0.065	0.04	0.04	0.05	12.7	11.7	13.8	0.99	0.96	1.03	0.08	0.07	0.09	22.64	21.82	23.49	22.77	21.95	23.63
6	853	159	estimated	0.081	0.05	0.04	0.05	13.9	12.8	15.1	0.99	0.95	1.03	0.07	0.07	0.08	21.96	20.97	22.87	22.14	21.25	23.05
6	853	159	fixed	0.054	0.04	0.04	0.05	11.8	10.9	12.8	0.96	0.89	1.00	0.08	0.08	0.09	22.68	21.04	23.44	23.52	21.62	24.31
6	853	159	fixed	0.065	0.04	0.04	0.04	12.7	11.7	13.8	0.96	0.92	0.99	0.08	0.07	0.09	22.10	21.32	22.91	23.07	22.26	23.92
6	853	159	fixed	0.081	0.04	0.04	0.05	13.9	12.8	15.1	0.95	0.91	0.99	0.07	0.07	0.08	21.48	20.64	22.34	22.64	21.76	23.55
7	854	167	0	0.054	0.04	0.04	0.04	11.9	11.0	13.0	0.99	0.96	1.02	0.08	0.08	0.09	23.15	22.37	23.95	23.40	22.62	24.21
7	854	167	0	0.065	0.04	0.04	0.05	12.9	11.9	14.0	0.99	0.95	1.02	0.08	0.07	0.08	22.71	21.89	23.56	23.01	22.18	23.87
7	854	167	0	0.081	0.04	0.04	0.05	14.1	13.0	15.3	0.98	0.94	1.02	0.07	0.07	0.08	22.09	21.21	23.00	22.46	21.56	23.39
7	854	167	estimated	0.054	0.04	0.04	0.04	11.9	11.0	13.0	0.99	0.96	1.03	0.08	0.08	0.09	23.25	22.46	24.06	23.37	22.58	24.18
7	854	167	estimated	0.065	0.04	0.04	0.05	12.9	11.9	14.0	0.99	0.96	1.03	0.08	0.07	0.08	22.74	21.91	23.59	22.88	22.05	23.75
7	854	167	estimated	0.081	0.04	0.04	0.05	14.1	13.0	15.3	0.99	0.95	1.03	0.07	0.07	0.08	22.18	21.29	23.11	22.37	21.33	23.30
7	854	167	fixed	0.054	0.04	0.04	0.04	12.0	11.0	13.0	0.96	0.93	1.00	0.08	0.08	0.09	22.85	22.10	23.62	23.70	22.93	24.51
7	854	167	fixed	0.065	0.04	0.04	0.04	12.9	11.9	14.0	0.96	0.92	0.99	0.08	0.07	0.08	22.35	21.56	23.16	23.34	22.52	24.20
7	854	167	fixed	0.081	0.04	0.04	0.05	14.1	13.0	15.3	0.95	0.91	0.99	0.07	0.07	0.08	21.66	20.81	22.54	22.84	21.95	23.76
8	853	172	0	0.054	0.04	0.04	0.04	12.0	11.0	13.0	0.99	0.96	1.02	0.08	0.08	0.09	22.88	22.12	23.68	23.14	22.37	23.95
8	853	172	0	0.065	0.04	0.04	0.05	12.9	11.9	14.0	0.99	0.95	1.02	0.08	0.07	0.08	22.60	21.79	23.45	22.90	22.08	23.76
8	853	172	0	0.081	0.04	0.04	0.05	14.1	13.0	15.3	0.98	0.94	1.02	0.07	0.07	0.08	21.99	21.11	22.90	22.36	21.46	23.29
8	853	172	estimated	0.054	0.04	0.04	0.04	12.0	11.0	13.0	0.99	0.96	1.03	0.08	0.08	0.09	23.15	22.37	23.96	23.27	22.49	24.08
8	853	172	estimated	0.065	0.04	0.04	0.05	12.9	11.9	14.0	0.99	0.96	1.03	0.08	0.07	0.08	22.68	21.86	23.54	22.83	22.00	23.69
8	853	172	estimated	0.081	0.04	0.04	0.05	14.1	13.0	15.3	0.99	0.95	1.03	0.07	0.07	0.08	22.12	21.22	23.03	22.30	21.35	23.23
8	853	172	fixed	0.054	0.04	0.04	0.04	12.0	11.1	13.0	0.96	0.93	1.00	0.08	0.08	0.09	22.81	22.06	23.58	23.66	22.88	24.46
8	853	172	fixed	0.065	0.04	0.04	0.04	12.9	11.9	14.0	0.96	0.92	0.99	0.08	0.07	0.08	22.14	21.35	22.95	23.12	22.31	23.97
8	853	172	fixed	0.081	0.04	0.04	0.05	14.1	13.0	15.3	0.95	0.91	0.99	0.07	0.07	0.08	21.57	20.72	22.44	22.74	21.85	23.66
9	854	167	0	0.054	0.04	0.04	0.05	11.7	10.8	12.8	0.99	0.96	1.02	0.09	0.08	0.09	22.26	21.51	23.02	22.50	21.75	23.28
9	854	167	0	0.065	0.05	0.04	0.05	12.6	11.7	13.7	0.99	0.95	1.02	0.08	0.07	0.09	21.80	21.01	22.61	22.09	21.29	22.91
9	854	167	0	0.081	0.05	0.04	0.05	13.8	12.7	15.0	0.98	0.94	1.02	0.07	0.07	0.08	21.11	20.27	21.99	21.45	20.60	22.35
9	854	167	estimated	0.054	0.04	0.04	0.05	11.7	10.8	12.8	0.99	0.96	1.03	0.09	0.08	0.09	22.38	21.63	23.16	22.50	21.75	23.28
9	854	167	estimated	0.065	0.05	0.04	0.05	12.6	11.7	13.7	0.99	0.96	1.03	0.08	0.07	0.09	21.87	21.07	22.69	22.01	21.21	22.84
9	854	167	estimated	0.081	0.05	0.04	0.05	13.8	12.7	15.0	0.99	0.95	1.03	0.07	0.07	0.08	21.19	20.35	22.09	21.38	20.52	22.27
9	854	167	fixed	0.054	0.04	0.04	0.05	11.8	10.8	12.8	0.96	0.93	1.00	0.09	0.08	0.09	21.95	21.24	22.69	22.77	22.03	23.53
9	854	167	fixed	0.065	0.04	0.04	0.05	12.7	11.7	13.8	0.96	0.92	0.99	0.08	0.07	0.09	21.40	20.64	22.18	22.34	21.55	23.15
9	854	167	fixed	0.081	0.05	0.04	0.05	13.8	12.8	15.0	0.95	0.91	0.99	0.07	0.07	0.08	20.69	19.88	21.53	21.81	20.97	22.70
10	853	143	0	0.054	0.04	0.04	0.04	11.5	10.6	12.5	0.99	0.96	1.03	0.09	0.08	0.09	23.38	22.60	24.18	23.59	22.81	24.40
10	853	143	0	0.065	0.04	0.04	0.04	12.4	11.4	13.5	0.99	0.95	1.03	0.08	0.07	0.09	22.89	22.08	23.74	23.14	22.32	24.01
10	853	143	0	0.081	0.04	0.04	0.05	13.5	12.5	14.7	0.99	0.95	1.03	0.07	0.07	0.08	22.33	21.44	23.24	22.63	21.74	23.57
10	853	143	estimated	0.054	0.04	0.04	0.04	11.5	10.6	12.5	1.00	0.96	1.03	0.09	0.08	0.09	23.44	22.66	24.25	23.54	22.76	24.35
10	853	143	estimated	0.065	0.04	0.04	0.04	12.4	11.4	13.5	0.99	0.96	1.03	0.08	0.07	0.09	23.01	22.19	23.87	23.14	22.31	24.00
10	853	143	estimated	0.081	0.04	0.04	0.05	13.5	12.5	14.7	0.99	0.95	1.03	0.07	0.07	0.08	22.41	21.51	23.33	22.56	21.66	23.49
10	853	143	fixed	0.054	0.04	0.04	0.04	11.5	10.6	12.5	0.96	0.93	1.00	0.09	0.08	0.09	23.05	22.26	23.82	23.89	23.13	24.70
10	853	143	fixed	0.065	0.04	0.04	0.04	12.4	11.5	13.5	0.96	0.92	0.99	0.08	0.07	0.09	22.57	21.78	23.38	23.55	22.74	24.41
10	853	143	fixed	0.081	0.04	0.04	0.05	13.6	12.5	14.7	0.95	0.91	0.99	0.07	0.07	0.08	21.88	21.03	22.76	23.05	22.16	23.97
