repetition	sampled_tips	observed_trees	hidden_trees	p	infectious_time	infectious_time_min	infectious_time_max	incubation_period	incubation_period_min	incubation_period_max	R0	R0_min	R0_max	mu	mu_min	mu_max	lambda	lambda_min	lambda_max	psi	psi_min	psi_max
3	759	74	estimated	0.072	0.05	0.04	0.05	12.2	11.2	13.3	1.00	0.96	1.04	0.08	0.08	0.09	22.13	21.26	23.04	22.08	21.21	22.99
3	759	74	459	0.072	0.04	0.04	0.05	12.2	11.2	13.3	0.96	0.92	0.99	0.08	0.08	0.09	21.61	20.79	22.46	22.63	21.77	23.52
4	766	67	estimated	0.049	0.04	0.04	0.05	10.4	9.6	11.4	1.00	0.97	1.04	0.10	0.09	0.10	22.43	21.69	23.20	22.36	21.59	23.43
4	766	67	466	0.049	0.04	0.04	0.05	10.4	9.6	11.4	0.97	0.94	1.00	0.10	0.09	0.10	22.13	21.42	22.85	22.83	22.10	23.58
4	766	67	estimated	0.058	0.05	0.04	0.05	11.2	10.3	12.2	1.00	0.97	1.04	0.09	0.08	0.10	22.07	21.27	22.88	22.00	21.21	22.81
4	766	67	466	0.058	0.04	0.04	0.05	11.2	10.3	12.2	0.96	0.93	1.00	0.09	0.08	0.10	21.60	20.85	22.38	22.43	21.65	23.24
4	766	67	estimated	0.073	0.05	0.04	0.05	12.3	11.3	13.4	1.00	0.96	1.04	0.08	0.07	0.09	21.53	20.67	22.41	21.47	20.62	22.35
4	766	67	466	0.073	0.05	0.04	0.05	12.3	11.3	13.4	0.95	0.92	0.99	0.08	0.07	0.09	20.91	20.10	21.73	21.89	21.07	22.76
5	749	69	estimated	0.047	0.04	0.04	0.04	10.2	9.3	11.1	1.00	0.97	1.04	0.10	0.09	0.11	23.27	22.50	24.06	23.20	22.44	24.14
5	749	69	464	0.047	0.04	0.04	0.04	10.2	9.3	11.1	0.97	0.94	1.00	0.10	0.09	0.11	22.81	22.08	23.56	23.52	22.57	24.30
5	749	69	estimated	0.057	0.04	0.04	0.05	11.0	10.1	12.0	1.00	0.97	1.04	0.09	0.08	0.10	22.82	22.01	23.66	22.75	21.94	23.59
5	749	69	464	0.057	0.04	0.04	0.04	11.0	10.1	12.0	0.96	0.93	1.00	0.09	0.08	0.10	22.37	21.60	23.17	23.21	22.41	24.04
5	749	69	estimated	0.071	0.04	0.04	0.05	12.0	11.0	13.1	1.00	0.96	1.04	0.08	0.08	0.09	22.31	21.43	23.22	22.25	21.38	23.16
5	749	69	464	0.071	0.04	0.04	0.05	12.0	11.0	13.1	0.96	0.92	0.99	0.08	0.08	0.09	21.74	20.91	22.59	22.75	21.89	23.65
6	757	63	estimated	0.048	0.04	0.04	0.04	10.2	9.4	11.2	1.00	0.97	1.04	0.10	0.09	0.11	23.51	22.74	24.31	23.44	22.67	24.24
6	757	63	470	0.048	0.04	0.04	0.04	10.2	9.4	11.2	0.97	0.94	1.00	0.10	0.09	0.11	23.01	22.28	23.77	23.74	22.99	24.53
6	757	63	estimated	0.058	0.04	0.04	0.05	11.0	10.1	12.0	1.00	0.97	1.04	0.09	0.08	0.10	23.00	22.19	23.85	22.93	22.12	23.78
6	757	63	470	0.058	0.04	0.04	0.04	11.0	10.1	12.0	0.96	0.93	1.00	0.09	0.08	0.10	22.59	21.80	23.39	23.44	22.63	24.28
6	757	63	estimated	0.072	0.04	0.04	0.05	12.1	11.1	13.2	1.00	0.96	1.04	0.08	0.08	0.09	22.49	21.60	23.40	22.43	21.55	23.34
6	757	63	470	0.072	0.04	0.04	0.05	12.1	11.1	13.2	0.96	0.84	0.99	0.08	0.08	0.09	21.93	19.35	22.79	22.96	20.30	23.87
7	759	72	estimated	0.048	0.04	0.04	0.04	10.4	9.5	11.4	1.00	0.97	1.04	0.10	0.09	0.10	23.61	22.83	24.42	23.54	22.77	24.35
7	759	72	461	0.048	0.04	0.04	0.04	10.4	9.6	11.4	0.97	0.94	1.00	0.10	0.09	0.10	23.30	22.55	24.07	24.04	23.27	24.84
7	759	72	estimated	0.058	0.04	0.04	0.04	11.2	10.3	12.2	1.00	0.97	1.04	0.09	0.08	0.10	23.29	22.45	24.15	23.23	22.40	24.08
7	759	72	461	0.058	0.04	0.04	0.04	11.2	10.3	12.2	0.96	0.93	1.00	0.09	0.08	0.10	22.79	21.99	23.60	23.65	22.84	24.50
7	759	72	estimated	0.072	0.04	0.04	0.05	12.3	11.3	13.4	1.00	0.96	1.04	0.08	0.07	0.09	22.69	21.79	23.61	22.63	21.74	23.56
7	759	72	461	0.072	0.04	0.04	0.04	12.3	11.3	13.4	0.95	0.92	0.99	0.08	0.07	0.09	22.10	21.26	22.97	23.15	22.27	24.06
8	754	73	estimated	0.048	0.04	0.04	0.04	10.3	9.5	11.3	1.00	0.97	1.05	0.10	0.09	0.11	23.52	22.74	24.65	23.45	22.68	25.31
8	754	73	460	0.048	0.04	0.04	0.04	10.3	9.5	11.3	0.97	0.94	1.00	0.10	0.09	0.11	23.11	22.37	23.87	23.84	23.08	24.63
8	754	73	estimated	0.057	0.04	0.04	0.04	11.1	10.2	12.2	1.00	0.97	1.04	0.09	0.08	0.10	23.12	22.30	23.98	23.06	22.23	23.91
8	754	73	460	0.057	0.04	0.04	0.04	11.1	10.2	12.2	0.96	0.93	1.00	0.09	0.08	0.10	22.69	21.90	23.50	23.54	22.73	24.39
8	754	73	estimated	0.072	0.04	0.04	0.05	12.2	11.2	13.3	1.00	0.96	1.04	0.08	0.08	0.09	22.62	21.72	23.54	22.56	21.67	23.48
8	754	73	460	0.072	0.04	0.04	0.05	12.2	11.2	13.3	0.96	0.92	0.99	0.08	0.08	0.09	22.00	21.16	22.87	23.03	22.16	23.94
9	753	66	estimated	0.048	0.04	0.04	0.05	10.0	9.2	10.9	1.00	0.97	1.04	0.10	0.09	0.11	22.76	22.02	23.54	22.70	21.96	23.47
9	753	66	467	0.048	0.04	0.04	0.04	10.0	9.2	10.9	0.97	0.94	1.00	0.10	0.09	0.11	22.35	21.64	23.08	23.05	22.27	23.82
9	753	66	estimated	0.057	0.04	0.04	0.05	10.8	9.9	11.8	1.00	0.97	1.04	0.09	0.08	0.10	22.39	21.59	23.21	22.33	21.53	23.14
9	753	66	467	0.057	0.04	0.04	0.05	10.8	9.9	11.8	0.96	0.93	1.00	0.09	0.08	0.10	21.90	21.14	22.68	22.73	21.95	23.54
9	753	66	estimated	0.072	0.05	0.04	0.05	11.8	10.8	12.9	1.00	0.93	1.04	0.08	0.08	0.09	21.79	20.14	22.68	21.74	20.59	22.63
9	753	66	467	0.072	0.04	0.04	0.05	11.8	10.9	12.9	0.96	0.92	0.99	0.08	0.08	0.09	21.26	20.45	22.09	22.26	21.43	23.14
10	770	60	estimated	0.049	0.04	0.04	0.04	10.2	9.4	11.1	1.00	0.97	1.04	0.10	0.09	0.11	23.80	23.02	24.60	23.72	22.95	24.53
10	770	60	473	0.049	0.04	0.04	0.04	10.2	9.4	11.1	0.97	0.94	1.00	0.10	0.09	0.11	23.37	22.63	24.14	24.11	23.35	24.90
10	770	60	estimated	0.059	0.04	0.04	0.04	11.0	10.1	12.0	1.00	0.97	1.04	0.09	0.08	0.10	23.39	22.56	24.25	23.32	22.50	24.18
10	770	60	473	0.059	0.04	0.04	0.04	11.0	10.1	12.0	0.96	0.93	1.00	0.09	0.08	0.10	22.90	22.10	23.71	23.76	22.95	24.60
10	770	60	estimated	0.073	0.04	0.04	0.05	12.0	11.0	13.1	1.00	0.96	1.04	0.08	0.08	0.09	22.76	21.87	23.69	22.70	21.81	23.63
10	770	60	473	0.073	0.04	0.04	0.04	12.0	11.0	13.1	0.96	0.92	0.99	0.08	0.08	0.09	22.30	21.45	23.17	23.34	22.46	24.36
